
﻿IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.242.107.109,8443,8443,true,HKG,Asia Pacific,Hong Kong,48,3.57
8.210.207.214,2087,2087,true,HKG,Asia Pacific,Hong Kong,45,3.56
8.218.1.163,2087,2087,true,HKG,Asia Pacific,Hong Kong,39,3.56
8.219.240.160,2083,2083,true,SIN,Asia Pacific,Singapore,70,3.54
47.76.192.24,2096,2096,true,HKG,Asia Pacific,Hong Kong,67,3.54
47.89.149.186,8443,443,true,IAD,North America,Ashburn,241,3.52
47.242.155.183,2087,2087,true,HKG,Asia Pacific,Hong Kong,55,3.51
47.238.138.232,80,443,true,CGK,Asia Pacific,Jakarta,69,3.51
8.217.50.252,2083,2083,true,HKG,Asia Pacific,Hong Kong,83,3.50
47.243.86.79,8443,8443,true,HKG,Asia Pacific,Hong Kong,102,3.49
47.238.35.50,2083,2083,true,HKG,Asia Pacific,Hong Kong,49,3.49
8.211.2.2,8443,443,true,FRA,Europe,Frankfurt,178,3.48
8.219.68.162,443,443,true,SIN,Asia Pacific,Singapore,76,3.46
47.83.13.99,443,443,true,HKG,Asia Pacific,Hong Kong,61,3.46
47.243.26.83,8443,8443,true,HKG,Asia Pacific,Hong Kong,49,3.46
8.218.178.79,2083,2083,true,HKG,Asia Pacific,Hong Kong,47,3.46
47.76.227.128,2053,2053,true,HKG,Asia Pacific,Hong Kong,96,3.44
8.208.11.119,8443,443,true,LHR,Europe,London,169,3.43
8.219.114.201,443,443,true,SIN,Asia Pacific,Singapore,41,3.42
47.243.5.154,2053,2053,true,HKG,Asia Pacific,Hong Kong,62,3.41
47.242.7.162,2083,2083,true,HKG,Asia Pacific,Hong Kong,53,3.40
47.238.5.0,8443,8443,true,HKG,Asia Pacific,Hong Kong,99,3.39
47.253.130.14,8443,443,true,IAD,North America,Ashburn,313,3.38
47.83.13.99,443,443,true,HKG,Asia Pacific,Hong Kong,57,3.38
47.242.107.109,2053,2053,true,HKG,Asia Pacific,Hong Kong,42,3.35
47.250.153.55,80,443,true,SIN,Asia Pacific,Singapore,35,3.34
47.242.252.237,2087,2087,true,HKG,Asia Pacific,Hong Kong,54,3.32
47.238.35.50,2083,2083,true,HKG,Asia Pacific,Hong Kong,70,3.31
47.243.169.63,2096,2096,true,HKG,Asia Pacific,Hong Kong,104,3.31
47.76.225.255,8443,8443,true,HKG,Asia Pacific,Hong Kong,59,3.30
47.243.255.224,2096,2096,true,HKG,Asia Pacific,Hong Kong,49,3.30
8.210.48.107,8443,8443,true,HKG,Asia Pacific,Hong Kong,47,3.30
47.250.155.74,80,443,true,SIN,Asia Pacific,Singapore,38,3.29
47.242.42.153,2053,2053,true,HKG,Asia Pacific,Hong Kong,49,3.28
8.218.1.163,2096,2096,true,HKG,Asia Pacific,Hong Kong,62,3.25
47.243.91.58,2083,2083,true,HKG,Asia Pacific,Hong Kong,74,3.24
8.218.1.163,8443,8443,true,HKG,Asia Pacific,Hong Kong,64,3.23
8.218.173.78,2087,2087,true,HKG,Asia Pacific,Hong Kong,94,3.20
8.213.208.51,8443,443,true,SIN,Asia Pacific,Singapore,32,3.19
47.76.29.115,2083,2083,true,HKG,Asia Pacific,Hong Kong,111,3.18
47.243.51.171,2083,2083,true,HKG,Asia Pacific,Hong Kong,76,3.18
47.90.141.204,443,443,true,LAX,North America,Los Angeles,238,3.17
8.210.203.7,2087,2087,true,HKG,Asia Pacific,Hong Kong,67,3.17
47.89.149.186,8443,443,true,IAD,North America,Ashburn,237,3.16
8.218.74.119,8443,8443,true,HKG,Asia Pacific,Hong Kong,121,3.16
8.218.53.110,2083,2083,true,HKG,Asia Pacific,Hong Kong,40,3.09
